property_id,suburb,postcode,address,sale_price,sale_date,sale_method,property_type,bedrooms,bathrooms,parking,recorded_area_m2,recorded_area_source,advertised_area_m2,land_size_m2,land_size_context,floor_area_m2,year_built,zoning,strata_indicator,strata_lot_number,latitude,longitude,distance_to_cbd_km,nearest_station_name,distance_to_nearest_station_km,nearest_school_name,distance_to_school_km,major_shopping_name,distance_to_shopping_km,balcony,pool,study,renovated,air_conditioning,agent_description_title,agent_description_excerpt,agent_description_text,property_profile_source_url,web_enrichment_source_url,original_listing_url,original_base_source_url,original_source_primary,nsw_property_id,nsw_match_type,description_verified,area_notes,data_notes,enrichment_notes,location_coordinate_source,location_coordinate_method,location_coordinate_source_url,geo_verified,cbd_reference_name,cbd_reference_latitude,cbd_reference_longitude,cbd_reference_source_url,cbd_distance_method,nearest_station_coordinate_source_url,station_distance_method,geospatial_quality_note
CHIP011,Chippendale,2008,2602/18A Park Lane,2165000,2026-06-25,Private Treaty,Apartment,3,2,2,186,domain_sold_listing,186,,,,,,,,-33.88555355,151.20136588,1.444,Central Station,0.360,,,,,,,,,,Sub-Penthouse Living | 270° Panoramic City Views in Sydney's Tech Hub,Positioned on the sub-penthouse level within the globally recognised Central Park precinct.,Sub-Penthouse Living | 270° Panoramic City Views in Sydney's Tech Hub. Positioned on the sub-penthouse level within the globally recognised Central Park precinct.,,,https://www.domain.com.au/2602-18a-park-lane-chippendale-nsw-2008-2020760415,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,True,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,exact property-profile map coordinate,,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012230,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP012,Chippendale,2008,3/3 Queen Street,2160000,2026-06-24,Private Treaty,Apartment,2,2,1,,,,,,,,,,,-33.88698427,151.20033154,1.625,Central Station,0.504,,,,,,,,,,Sold Off Market by Charles Touma,Sold Off Market by Charles Touma,Sold Off Market by Charles Touma. Sold Off Market by Charles Touma,,,https://www.domain.com.au/3-3-queen-street-chippendale-nsw-2008-2020938861,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,True,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,building-level profile map coordinate,,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012230,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP013,Chippendale,2008,507/2 Chippendale Way,535000,2026-06-19,Private Treaty,Apartment,1,1,0,,,46,,,,,,,,-33.88461413,151.20029217,1.381,Central Station,0.453,,,,,,,,,,,,,,https://www.property.com.au/nsw/chippendale-2008/apartment-unit/sold/,,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,False,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,building-level profile map coordinate,https://www.property.com.au/nsw/chippendale-2008/apartment-unit/sold/,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012230,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP014,Chippendale,2008,11/82 Myrtle Street,1470000,2026-06-19,Auction,Apartment,2,1,1,96,domain_sold_listing,96,,,,,,,,-33.88723243,151.19727048,1.764,Redfern Station,0.566,,,,,,,,,,Industrial soul,Wonderfully set in the converted 'Myrtle House' framed by leafy views from its first-floor position.,Industrial soul. Wonderfully set in the converted 'Myrtle House' framed by leafy views from its first-floor position.,,,https://www.domain.com.au/11-82-myrtle-street-chippendale-nsw-2008-2020858839,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,True,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,building-level profile map coordinate,,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012154,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP015,Chippendale,2008,52 Myrtle Street,1850000,2026-06-11,Private Treaty,House,3,1,1,,,,119,property/lot area,,,,,,-33.88690869,151.19598265,1.792,Redfern Station,0.639,,,,,,,,,,Sold off market by Leon Parker,,Sold off market by Leon Parker,https://www.property.com.au/nsw/chippendale-2008/myrtle-st/52-pid-1196044/,https://www.property.com.au/nsw/chippendale-2008/myrtle-st/52-pid-1196044/,,https://www.domain.com.au/52-myrtle-street-chippendale-nsw-2008-2020910898,Domain public sold-listing data,,unmatched,False,,,Exact property profile reports 119 m² land.,Property.com.au public property-profile map,exact property-profile map coordinate,https://www.property.com.au/nsw/chippendale-2008/myrtle-st/52-pid-1196044/,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012154,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP016,Chippendale,2008,G04/8 Central Park Ave,990000,2026-06-02,Private Treaty,Apartment,1,1,1,,,106,,,,,,,,-33.88582003,151.19909731,1.548,Central Station,0.571,,,,,,,,,,,,,,https://www.property.com.au/nsw/chippendale-2008/apartment-unit/sold/,,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,False,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,exact property-profile map coordinate,https://www.property.com.au/nsw/chippendale-2008/apartment-unit/sold/,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012230,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP017,Chippendale,2008,1819/18 Park Lane,555000,2026-06-01,Private Treaty,Apartment,1,1,0,,,,,,,,,,,-33.88573641,151.20114766,1.469,Central Station,0.384,,,,,,,,,,,,,,,,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,False,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,building-level profile map coordinate,,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012230,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP018,Chippendale,2008,209/82-84 Abercrombie Street,600000,2026-05-15,Private Treaty,Apartment,1,1,0,,,42,,,,,,,,-33.88694973,151.19902666,1.665,Redfern Station,0.580,,,,,,,,,,,,,,https://www.property.com.au/nsw/chippendale-2008/apartment-unit/sold/,,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,False,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,building-level profile map coordinate,https://www.property.com.au/nsw/chippendale-2008/apartment-unit/sold/,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012154,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP019,Chippendale,2008,412/1 Chippendale Way,630000,2026-05-13,Private Treaty,Apartment,1,1,0,,,,,,,,,,,-33.88441519,151.19964934,1.385,Central Station,0.514,,,,,,,,,,,,,,,,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,False,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,building-level profile map coordinate,,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012230,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP020,Chippendale,2008,71 Rose Street,1550000,2026-05-12,Private Treaty,House,3,1,0,101,domain_sold_listing,101,101,property/lot area,,1880,,,,-33.88716311,151.19445451,1.893,Redfern Station,0.685,,,,,,,,,,,,,https://www.property.com.au/nsw/chippendale-2008/rose-st/71-pid-1460478/,https://www.property.com.au/nsw/chippendale-2008/rose-st/71-pid-1460478/,,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/house/,Domain public sold-listing data,,unmatched,False,,,Exact property profile reports 101 m² land and Built: 1880.,Property.com.au public property-profile map,exact property-profile map coordinate,https://www.property.com.au/nsw/chippendale-2008/rose-st/71-pid-1460478/,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012154,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP021,Chippendale,2008,101/82-84 Abercrombie Street,910000,2026-05-08,Prior to Auction,Apartment,1,1,1,,,65,,,,,,,,-33.88694973,151.19902666,1.665,Redfern Station,0.580,,,,,,,,,,,,,,https://www.property.com.au/nsw/chippendale-2008/apartment-unit/sold/,,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,False,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,building-level profile map coordinate,https://www.property.com.au/nsw/chippendale-2008/apartment-unit/sold/,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012154,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP022,Chippendale,2008,707/1 Chippendale Way,790000,2026-05-07,Private Treaty,Apartment,1,1,0,,,,,,,,,,,-33.88441519,151.19964934,1.385,Central Station,0.514,,,,,,,,,,,,,,,,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,False,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,building-level profile map coordinate,,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012230,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP023,Chippendale,2008,5/3 Queen Street,2226000,2026-05-02,Auction,Apartment,2,2,1,,,,,,,,,,,-33.88698427,151.20033154,1.625,Central Station,0.504,,,,,,,,,,,,,,,,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/,Domain public sold-listing data,,unmatched,False,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,Property.com.au public property-profile map,building-level profile map coordinate,,Yes,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,Haversine straight-line distance,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5012230,Haversine straight-line distance,"Property/building coordinate verified from a public property-profile map. CBD and station distances are straight-line distances, not road or walking distances."
CHIP024,Chippendale,2008,34/1 Dwyer Street,407000,2026-05-01,Private Treaty,Studio,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.domain.com.au/sold-listings/chippendale-nsw-2008/apartment/studio/,Domain public sold-listing data,,unmatched,False,,,Blank enrichment fields mean no sufficiently reliable public value was verified; no synthetic or inferred value was inserted.,,,,No,Sydney Town Hall,-33.8732096512,151.2062082520,https://apps.environment.nsw.gov.au/dpcheritageapp/ViewHeritageItemDetails.aspx?ID=5051902,,,,No sufficiently reliable property coordinate was verified in this enrichment pass; coordinate-derived fields were deliberately left blank rather than estimated.
